ID ,question,answer
0,a junior orthopaedic surgery resident is completing a carpal tunnel repair with the department chairman as the attending physician during the case the resident inadvertently cuts a flexor tendon the tendon is repaired without complication the attending tells the resident that the patient will do fine and there is no need to report this minor complication that will not harm the patient as he does not want to make the patient worry unnecessarily he tells the resident to leave this complication out of the operative report which of the following is the correct next action for the resident to take,tell the attending that he cannot fail to disclose this mistake
1,a yearold man with transitional cell carcinoma of the bladder comes to the physician because of a day history of ringing sensation in his ear he received this first course of neoadjuvant chemotherapy  week ago pure tone audiometry shows a sensorineural hearing loss of  db the expected beneficial effect of the drug that caused this patients symptoms is most likely due to which of the following actions,crosslinking of dna
2,two weeks after undergoing an emergency cardiac catherization with stenting for unstable angina pectoris a yearold man has decreased urinary output and malaise he has type  diabetes mellitus and osteoarthritis of the hips prior to admission his medications were insulin and naproxen he was also started on aspirin clopidogrel and metoprolol after the coronary intervention his temperature is c f pulse is min and blood pressure is  mm hg examination shows mottled reticulated purplish discoloration of the feet laboratory studies shownhemoglobin count  gdlnleukocyte count mmnsegmented neutrophils neosinophils nlymphocytes nmonocytes nplatelet count mmnerythrocyte sedimentation rate  mmhnserumnurea nitrogen  mgdlncreatinine  mgdlnrenal biopsy shows intravascular spindleshaped vacuoles which of the following is the most likely cause of this patients symptoms,cholesterol embolization
3,a yearold woman is brought to the emergency department because of fevers chills and left lower quadrant pain her temperature is c f pulse is min respirations are min and blood pressure is  mm hg there is blood oozing around the site of a peripheral intravenous line pelvic examination shows mucopurulent discharge from the cervical os and left adnexal tenderness laboratory studies shownplatelet count mmnfibrinogen  mgml n   mgdlnddimer  ngml n   ngmlnwhen phenol is applied to a sample of the patients blood at c a phosphorylated nacetylglucosamine dimer with  fatty acids attached to a polysaccharide side chain is identified a blood culture is most likely to show which of the following,lactosefermenting gramnegative rods forming pink colonies on macconkey agar
4,a yearold man comes to the physician because of itchy watery eyes for the past week he has also been sneezing multiple times a day during this period he had a similar episode  year ago around springtime he has iron deficiency anemia and ankylosing spondylitis current medications include ferrous sulfate artificial tear drops and indomethacin he works as an elementary school teacher his vital signs are within normal limits visual acuity is  without correction physical examination shows bilateral conjunctival injection with watery discharge the pupils are  mm equal and reactive to light examination of the anterior chamber of the eye is unremarkable which of the following is the most appropriate treatment,ketotifen eye drops
5,a yearold man presents to the emergency department because of progressively worsening chest pain and nausea that started at a local bar  minutes prior the pain radiates to the epigastric area he has a year history of untreated hypertension he has smoked  pack of cigarettes daily for the past  years and started abusing cocaine  weeks before his emergency room visit the patient is diaphoretic and in marked distress what should be the first step in management,reassurance and continuous monitoring
6,a yearold male comes to the physician for evaluation of right flank pain he has a history of diabetes and peripheral artery disease his blood pressure is  mm hg physical examination shows abdominal tenderness and right flank tenderness an ultrasound shows dilation of the right ureter and renal pelvis which of the following is the most likely underlying cause of this patients condition,common iliac artery aneurysm
7,a yearold man is brought to the emergency department  minutes after the onset of acute chest pain he has hypertension and asthma current medications include atorvastatin lisinopril and an albuterol inhaler he appears pale and diaphoretic his pulse is min and blood pressure is  mm hg an ecg shows stsegment depressions in leads ii iii and avf laboratory studies show an increased serum troponin t concentration the patient is treated for acute coronary syndrome and undergoes percutaneous transluminal coronary angioplasty at the time of discharge echocardiography shows a left ventricular ejection fraction of  in addition to aspirin which of the following drugs should be added to this patients medication regimen,clopidogrel
8,a yearoldwoman presents to her primary care physician requesting a new form of birth control she has been utilizing oral contraceptive pills ocps for the past  years but asks to switch to an intrauterine device iud her vital signs are blood pressure  mm hg pulse min and respiratory rate min she is afebrile physical examination is within normal limits which of the following past medical history statements would make copper iud placement contraindicated in this patient,active or recurrent pelvic inflammatory disease pid
9,a yearold woman comes to the physician because she is embarrassed about the appearance of her nails she has no history of serious illness and takes no medications she appears well a photograph of the nails is shown which of the following additional findings is most likely in this patient,silvery plaques on extensor surfaces
10,a yearold gp woman at  weeks gestation presents to the emergency department complaining of painful contractions occurring every  minutes for the past  hours consistent with latent labor she says she has not experienced vaginal discharge bleeding or fluid leakage and is currently taking no medications on physical examination her blood pressure is  mm hg heart rate is min and temperature is c f she has had little prenatal care and uses condoms inconsistently her sexually transmitted infections status is unknown as part of the patients workup she undergoes a series of rapid screening tests that result in the administration of zidovudine during delivery the infant is also given zidovudine to reduce the risk of transmission a confirmatory test is then performed in the mother to confirm the diagnosis of hiv which of the following is most true about the confirmatory test,it is an hivhiv antibody differentiation immunoassay
11,a yearold man comes to the physician because of a month history of fatigue and worsening abdominal pain during this period he also has excessive night sweats and shortness of breath on exertion over the past  months he has had a kg lb weight loss he had a myocardial infarction  years ago he has hypertension diabetes mellitus and chronic bronchitis his medications include insulin aspirin lisinopril and an albuterol inhaler he has smoked half a pack of cigarettes for the past  years vital signs are within normal limits the spleen is palpated  cm below the left costal margin laboratory studies shownhemoglobin  gdlnmean corpuscular volume  mnleukocyte count mmnplatelet count mmna blood smear is shown bone marrow aspiration shows extensive fibrosis and a few scattered plasma cells a jak  assay is positive which of the following is the most appropriate next step in management,ruxolitinib
12,a yearold man comes to the physician because of worsening gait unsteadiness and bilateral hearing loss for  month he has had intermittent tingling sensations on both cheeks over this time period he has no history of serious medical illness and takes no medications audiometry shows bilateral sensorineural hearing loss genetic evaluation shows a mutation of a tumor suppressor gene on chromosome  that encodes merlin this patient is at increased risk for which of the following conditions,meningioma
13,a yearold executive schedules an appointment his physician for a routine medical checkup he currently has no complaints and claims to be as fit as a fiddle the physical examination findings are unremarkable except for a midsystolic murmur heard in the nd left intercostal space that radiates to the carotids on auscultation the physician instructs the patient to stand from a supine position with the stethoscope still placed on his chest which of the following changes would occur with this maneuver,a reduction in diastolic filling time
14,a microbiologist is studying the emergence of a virulent strain of the virus after a detailed study of the virus and its life cycle he proposes a theory initially a host cell is coinfected with  viruses from the same virus family within the host cell concomitant production of various genome segments from both viruses occurs ultimately the different genome segments from the viruses are packaged into a unique and novel virus particle the newly formed virus particle is both stable and viable and is a new strain from the virus family that caused the outbreak of infection which of the following viruses is capable of undergoing the abovementioned process,rotavirus
15,a yearold overweight woman presents to the urgent care clinic with the complaint of severe abdominal pain for the past  hours she also complains of a dull pain in her back with nausea and vomiting several times her pain has no relation with food her past medical history is significant for recurrent abdominal pain due to cholelithiasis her father died at the age of  with some form of abdominal cancer her temperature is c f respirations are min pulse is min and blood pressure is  mm hg physical exam is unremarkable however a ct scan of the abdomen shows a calcified mass near her gallbladder which of the following diagnoses should be excluded first in this patient,gallbladder cancer
